source,campaign,influencer_id,user_id,product,date,orders,revenue
BioLink,HKFitBlast,1,31b4709c-01f2-49e4-b965-9c7a42ff3b13,Whey Protein,2025-04-07,1,105.22
BioLink,HKFitBlast,1,ace8c3d1-e0b4-4a73-9eb6-dd1c9f88be6e,Omega 3,2025-06-17,1,267.97
PromoCode,HKFitBlast,1,ed233795-1313-4048-93b3-f363d3073295,Multivitamin,2025-06-09,1,86.6
SwipeUp,HKFitBlast,1,7bf7bf91-9958-41e0-bb31-0f54e9f410c9,Omega 3,2025-03-20,1,160.02
PromoCode,MBProteinPush,1,b4664f33-d541-4860-8583-d0bb32fb59fd,Whey Protein,2025-04-10,1,229.22
BioLink,HKFitBlast,1,09a61674-cb1f-4325-84e5-f3943c6bad34,Creatine,2025-03-11,1,116.38
PromoCode,MBProteinPush,1,4ebd9823-64ff-47a6-b5ce-bda85d3dc371,Multivitamin,2025-03-11,1,117.19
BioLink,HKFitBlast,1,53a70e7d-1b86-4a72-b424-28924b2ca54d,Creatine,2025-06-09,1,173.14
SwipeUp,MBProteinPush,1,ba9b519a-3772-43a3-9b72-ea6c33c9bfa1,Creatine,2025-03-21,1,272.33
PromoCode,HKFitBlast,1,d14a3950-36e7-4939-a2d7-60779e8fa807,Whey Protein,2025-04-20,1,229.87
BioLink,MBProteinPush,1,86474182-f35c-42fd-988b-4a71ba53d4ca,Multivitamin,2025-03-12,1,220.34
BioLink,GritzoKidsRun,1,d9ffcacd-7284-4356-ad1e-b9b4cc7e66de,Creatine,2025-04-08,1,326.41
SwipeUp,HKFitBlast,1,44087b43-9eea-45de-b5b5-777f041c4ba3,Multivitamin,2025-06-24,1,248.96
PromoCode,HKFitBlast,1,a4b0190d-dd40-411a-b276-d8192651daa3,Multivitamin,2025-06-06,1,175.56
SwipeUp,HKFitBlast,1,cade4865-c50e-4346-b34c-8c784892111c,Multivitamin,2025-03-11,1,178.22
PromoCode,MBProteinPush,1,74e5e611-2d65-47a1-9a96-8960c6bdce43,Multivitamin,2025-04-16,1,216.13
PromoCode,GritzoKidsRun,1,1f3c4a38-ff62-499a-b2ae-7fce877a71fc,Multivitamin,2025-05-24,1,226.38
PromoCode,GritzoKidsRun,1,0f657cc9-8fbd-453a-b90f-2b458612944f,Creatine,2025-05-13,1,209.17
BioLink,HKFitBlast,1,7a5f1d32-c1fc-4fc3-a1b2-caa6d5bccd83,Omega 3,2025-03-01,1,199.68
SwipeUp,MBProteinPush,1,d83e6704-3c29-4c68-a138-fe3c5c699e1f,Multivitamin,2025-05-02,1,85.18
BioLink,GritzoKidsRun,1,592b4112-c459-4083-9b40-87978ecc4bd9,Omega 3,2025-04-18,1,157.07
PromoCode,MBProteinPush,1,54b56b05-ef67-4fc8-a308-961be3e32e42,Creatine,2025-05-07,1,155.5
SwipeUp,HKFitBlast,1,6d9b5aa8-c69e-4431-8f34-4c15e9b3589c,Creatine,2025-04-20,1,119.26
BioLink,HKFitBlast,1,c5de72fb-dd31-4c0b-930f-7e66f49eaaa3,Multivitamin,2025-05-10,1,101.9
SwipeUp,MBProteinPush,1,7324c2bb-c119-4634-8ad3-e2506a5f09cb,Multivitamin,2025-05-05,1,212.7
BioLink,MBProteinPush,1,2ae72b5d-dcd2-4fd4-8c74-5676478fcedd,Multivitamin,2025-03-17,1,195.19
BioLink,HKFitBlast,1,565854d5-829d-43f5-967f-fe50b4c313eb,Multivitamin,2025-06-27,1,135.79
SwipeUp,MBProteinPush,1,8a95e0d8-4794-444d-ab58-3656e4a6da33,Multivitamin,2025-05-16,1,183.61
PromoCode,MBProteinPush,1,f6ebcacf-6c05-4f93-969c-382abb9e88f8,Whey Protein,2025-04-14,1,225.95
SwipeUp,HKFitBlast,1,b671f1b2-c9a0-49ef-913c-5c4ddde630e0,Creatine,2025-06-10,1,135.19
PromoCode,MBProteinPush,1,20ff622c-8085-4d53-ad82-ab6a49bc819e,Multivitamin,2025-04-06,1,223.46
BioLink,GritzoKidsRun,1,f7b6e34b-1e60-4b15-a915-a8f99d482c49,Whey Protein,2025-03-11,1,302.16
BioLink,HKFitBlast,1,55114558-fc42-4352-ad98-7038b174429c,Creatine,2025-03-04,1,279.53
SwipeUp,MBProteinPush,1,e1eadd41-019a-4843-99db-ff58eebd342d,Whey Protein,2025-03-05,1,255.05
SwipeUp,MBProteinPush,1,5f5c6553-4e8d-4654-8d37-10e627ebe3a5,Omega 3,2025-05-17,1,173.3
SwipeUp,GritzoKidsRun,1,3b6a38cf-e0df-442d-a5b8-13c29619cf44,Whey Protein,2025-03-09,1,112.11
SwipeUp,HKFitBlast,1,e09b6f17-a484-4e3e-a191-990c3c861a6a,Omega 3,2025-06-08,1,128.99
PromoCode,MBProteinPush,1,cc9fb7d4-1da0-46ad-93bb-447ffdbf4aa4,Omega 3,2025-04-09,1,90.47
BioLink,HKFitBlast,1,016d0426-3556-471b-91b9-e1b1513f9d0f,Omega 3,2025-04-09,1,262.84
BioLink,MBProteinPush,1,343f5341-8593-43a2-88a6-6a647b03f61b,Whey Protein,2025-05-16,1,131.66
PromoCode,HKFitBlast,1,2ea151aa-bcf7-4bc2-8e38-440e6cf98cc8,Creatine,2025-05-22,1,124.73
PromoCode,MBProteinPush,1,d9e323be-48cc-42e8-8da2-9b5e48ae4aba,Whey Protein,2025-05-02,1,330.85
PromoCode,HKFitBlast,1,9620818d-62c5-4829-a210-b7349dedb853,Whey Protein,2025-05-15,1,345.2
SwipeUp,GritzoKidsRun,1,7fe4c461-24e1-4d79-bd99-e386b77c1be6,Whey Protein,2025-06-25,1,298.18
BioLink,HKFitBlast,1,38da98b0-efc8-4fc9-bd8e-fc60b0bb79d9,Omega 3,2025-04-21,1,73.07
BioLink,HKFitBlast,1,70e98f08-c9f0-4bd6-a327-85f7e61c4368,Omega 3,2025-05-27,1,72.27
PromoCode,MBProteinPush,1,26530bd4-69cc-4eb0-a4a5-308d4aec4d62,Multivitamin,2025-05-30,1,163.18
SwipeUp,MBProteinPush,1,83eb9e95-d891-4c36-9dc5-734521366a4d,Omega 3,2025-06-28,1,100.39
BioLink,MBProteinPush,1,5e6bed7a-eb53-4282-aaee-f929b424a7a0,Multivitamin,2025-04-04,1,84.04
BioLink,HKFitBlast,1,869ca44f-11d0-4c7a-b56c-cffaf31fbee0,Whey Protein,2025-03-27,1,218.51
PromoCode,HKFitBlast,1,8b19f320-b523-4821-ac41-76f7d045f17e,Omega 3,2025-06-06,1,258.73
BioLink,HKFitBlast,1,30bf9bd2-223b-4a76-bcaf-0ee31b19b829,Creatine,2025-06-10,1,166.36
SwipeUp,HKFitBlast,1,24a994d7-9b48-46fb-b33f-117b2054e592,Whey Protein,2025-06-15,1,270.54
PromoCode,MBProteinPush,1,4e0bec8f-a07d-4d6c-81d0-468ca528698b,Multivitamin,2025-05-15,1,223.49
BioLink,GritzoKidsRun,1,0213d090-bd00-4f19-a08d-51350f199b92,Whey Protein,2025-06-16,1,162.29
BioLink,MBProteinPush,1,432c03e4-6a55-4ea5-bea7-d6398503e3b7,Whey Protein,2025-04-29,1,267.71
SwipeUp,HKFitBlast,1,76935d1f-8d80-42fe-b7b1-007234368737,Multivitamin,2025-04-11,1,126.71
BioLink,HKFitBlast,1,78bec228-c455-4a79-aa41-50de8852c78e,Multivitamin,2025-04-18,1,106.84
BioLink,HKFitBlast,1,74be3766-aa47-4fc8-964b-a766b4c7573a,Creatine,2025-03-22,1,257.73
BioLink,HKFitBlast,1,7ae67ecf-599f-4901-a65c-ad512e401311,Creatine,2025-04-26,1,115.45
BioLink,MBProteinPush,1,5cf9d973-f929-4da0-bf30-070d42a5af9b,Omega 3,2025-05-08,1,269.39
PromoCode,MBProteinPush,1,61003856-22bb-4c8d-bbdc-80ac4400592c,Multivitamin,2025-03-19,1,120.36
SwipeUp,GritzoKidsRun,1,534fa89b-085e-4e90-b12f-f03e923b6567,Whey Protein,2025-03-18,1,252.85
PromoCode,HKFitBlast,1,c688599b-d111-477c-82cc-30391719944c,Omega 3,2025-06-12,1,153.45
SwipeUp,MBProteinPush,1,e64f8ec0-61e5-4dd9-b41d-60f6bded3f17,Multivitamin,2025-05-19,1,107.81
PromoCode,HKFitBlast,1,647a96e9-1a2d-4d7a-bac4-32f83db8014a,Multivitamin,2025-03-07,1,86.13
SwipeUp,HKFitBlast,1,7085770f-b7e1-4b21-ae80-c748de78c603,Multivitamin,2025-06-25,1,217.0
PromoCode,HKFitBlast,1,1035ddda-2cf0-477d-b801-792ba53a43d6,Multivitamin,2025-04-25,1,257.49
PromoCode,GritzoKidsRun,1,c986b3e4-7161-4888-b2c5-2d76370ebb11,Creatine,2025-05-26,1,291.77
SwipeUp,GritzoKidsRun,1,a7c809be-9082-440a-ad00-e657379f0075,Multivitamin,2025-05-10,1,186.2
BioLink,MBProteinPush,1,ed140bfa-d67e-4f37-b4e9-b38e2fa76c80,Multivitamin,2025-03-04,1,251.04
PromoCode,GritzoKidsRun,1,939f3536-27ba-43dd-ac2b-d5a32e89bdbd,Whey Protein,2025-06-24,1,273.63
PromoCode,MBProteinPush,1,bdb1d20f-36cf-48af-9d64-22cee8de4479,Whey Protein,2025-04-19,1,287.2
BioLink,HKFitBlast,1,bb991df7-19ce-4fee-b491-4ab02bd346cb,Multivitamin,2025-04-21,1,188.37
SwipeUp,HKFitBlast,1,95ce2483-da97-4edb-a841-588d53b34daf,Omega 3,2025-03-10,1,197.42
SwipeUp,MBProteinPush,1,8cf7fbd8-8d9a-48d8-bc7c-53724d9e6b9f,Creatine,2025-03-18,1,282.94
BioLink,HKFitBlast,1,a73ff524-5339-4b18-aaa3-ed5ee58e8fb6,Omega 3,2025-04-14,1,150.78
SwipeUp,MBProteinPush,1,93ddee65-ca12-43d9-be98-f09df6d2a20d,Creatine,2025-06-12,1,283.05
SwipeUp,HKFitBlast,1,8e525adc-51f8-4eb6-b404-07f48a4828af,Creatine,2025-06-22,1,231.27
BioLink,HKFitBlast,1,7d35de60-1f45-46d0-aaf9-e1cd444b9490,Whey Protein,2025-05-27,1,139.8
BioLink,HKFitBlast,1,e1ebef9c-be60-408d-bcb3-90767688f76e,Creatine,2025-04-29,1,93.97
PromoCode,HKFitBlast,1,4a332325-64a1-4253-8ee8-efcf295c1b59,Omega 3,2025-03-30,1,143.83
BioLink,MBProteinPush,1,42d361aa-5526-4b8e-922f-ebcf0501e79e,Creatine,2025-06-13,1,220.3
BioLink,MBProteinPush,1,c661e011-f3fc-4192-8f8e-31a393de2da0,Whey Protein,2025-04-30,1,317.71
SwipeUp,GritzoKidsRun,1,2e32a832-1dd1-4fcf-b99b-8d2db72a6928,Creatine,2025-06-17,1,118.85
BioLink,MBProteinPush,1,dc5136e4-d912-4963-932a-9e069a86040e,Multivitamin,2025-05-10,1,256.05
PromoCode,HKFitBlast,1,2ca0ed97-922f-435d-afd1-c77500b02a82,Multivitamin,2025-04-23,1,269.86
BioLink,HKFitBlast,1,3f19ed0f-54c3-4b6d-8e31-275c297eb3ce,Multivitamin,2025-05-20,1,113.15
BioLink,HKFitBlast,1,86e979fe-c27e-409a-b7f0-5674988ca047,Omega 3,2025-06-19,1,240.62
SwipeUp,HKFitBlast,1,7d861a55-36d8-4fad-9ccd-a878b800f540,Multivitamin,2025-05-25,1,298.12
BioLink,MBProteinPush,1,945f4281-2366-43b4-93ae-322ed147b235,Omega 3,2025-06-24,1,215.91
PromoCode,MBProteinPush,1,3e3707dc-84d9-42ec-aa3c-2de7f2203acf,Creatine,2025-03-16,1,277.91
PromoCode,GritzoKidsRun,1,c0b4283a-acdb-425c-8ff4-40eb073024e4,Omega 3,2025-06-26,1,268.89
PromoCode,HKFitBlast,1,65aa6c06-5d43-4dc2-8b11-5be6227cc456,Creatine,2025-05-28,1,234.53
SwipeUp,MBProteinPush,1,8c486219-0de5-4d7b-9cec-2307b9e24cc0,Multivitamin,2025-03-23,1,147.74
PromoCode,HKFitBlast,1,43eb756f-0b62-492a-a224-a22409a3e57e,Omega 3,2025-06-01,1,237.83
PromoCode,MBProteinPush,1,f091f0f9-cf92-4d95-9b48-d3027d2b8714,Whey Protein,2025-05-23,1,258.22
BioLink,HKFitBlast,1,8183abc0-80e2-4d04-84c4-8ac07731b193,Multivitamin,2025-06-13,1,207.86
BioLink,GritzoKidsRun,1,35e8f24a-af00-4b94-996c-925270390356,Creatine,2025-05-23,1,149.38
PromoCode,HKFitBlast,1,5f48087e-e0e6-40c2-b477-caf7b8d7e825,Whey Protein,2025-05-20,1,295.67
BioLink,HKFitBlast,1,a32e6cb4-3c9e-473a-af45-a1125b7c3988,Omega 3,2025-05-04,1,88.17
SwipeUp,HKFitBlast,1,d67da117-cc77-4505-8f95-e5dcec9f1803,Creatine,2025-06-20,1,311.68
PromoCode,HKFitBlast,1,c4c0eaf1-d048-48af-bf5f-274aca5376ab,Omega 3,2025-03-05,1,136.51
BioLink,HKFitBlast,1,4d56a834-fa5d-4ae7-8733-8a26047032f6,Multivitamin,2025-03-29,1,108.11
PromoCode,GritzoKidsRun,1,d08e6441-14fe-4960-a539-6212634a35eb,Multivitamin,2025-05-09,1,177.32
PromoCode,HKFitBlast,1,1c06efa6-521b-41e4-92e7-fc57cb53e1ae,Multivitamin,2025-04-25,1,89.34
BioLink,HKFitBlast,1,29baadcc-df2f-4029-95ce-9fac58cd9df3,Creatine,2025-06-24,1,253.68
PromoCode,MBProteinPush,1,e606b32f-920d-4830-ba5b-70e7df3bd35c,Omega 3,2025-06-21,1,250.74
BioLink,MBProteinPush,1,2632fa9d-c768-4db9-85d8-e14617f42764,Whey Protein,2025-05-17,1,317.04
SwipeUp,GritzoKidsRun,1,bad1ffe7-ed46-4087-877a-fed52adff941,Multivitamin,2025-06-22,1,108.02
PromoCode,GritzoKidsRun,1,0626d3be-a9fc-43da-9926-c059bfd0b387,Multivitamin,2025-03-12,1,107.78
BioLink,MBProteinPush,1,a75c77c0-46f5-4ae6-ba5c-28ca32e72520,Creatine,2025-06-14,1,284.85
BioLink,HKFitBlast,1,9cb14954-0e83-4587-b15e-b39f82e9dd36,Creatine,2025-06-08,1,311.67
SwipeUp,HKFitBlast,1,6a63bd5b-9398-4a02-8141-f1aee9622f9d,Multivitamin,2025-06-29,1,181.35
PromoCode,MBProteinPush,1,97eea179-afd0-43d6-b5dd-e53415286855,Multivitamin,2025-04-30,1,189.77
SwipeUp,GritzoKidsRun,1,252ac83c-1d7b-4a5c-b7a8-7bc59bd39476,Whey Protein,2025-04-18,1,180.02
PromoCode,HKFitBlast,1,26db89dc-bb54-42fd-a6a3-761ba21f56b2,Omega 3,2025-03-14,1,249.06
BioLink,HKFitBlast,1,afd13425-dde2-434c-9e3a-7063284baa23,Multivitamin,2025-06-20,1,221.88
SwipeUp,MBProteinPush,1,7770014d-68fd-4179-b5d9-2768f5ca07f4,Whey Protein,2025-05-31,1,172.1
BioLink,HKFitBlast,1,9b18276a-1d7b-4363-8db2-672223bf1f71,Whey Protein,2025-06-02,1,174.88
PromoCode,GritzoKidsRun,1,1cda8918-1dad-4807-96d8-3599ac6669e6,Whey Protein,2025-04-16,1,331.28
PromoCode,MBProteinPush,1,2e42d010-e9cd-4072-a127-130e1ac0dff3,Whey Protein,2025-03-06,1,99.6
BioLink,HKFitBlast,1,724d3c00-082b-4c6f-b8bf-69039e150062,Whey Protein,2025-03-17,1,181.2
BioLink,HKFitBlast,1,ecef93a2-be19-437a-a966-544f57cad887,Whey Protein,2025-05-04,1,242.35
SwipeUp,MBProteinPush,1,32acf022-3fa9-46f9-aeb1-ecb97008f9e0,Multivitamin,2025-06-20,1,112.61
BioLink,GritzoKidsRun,1,097a575d-36ce-4d27-bacc-5ea6bf2c857e,Creatine,2025-04-05,1,110.29
PromoCode,HKFitBlast,1,565a2822-615a-443c-ae73-699b31440c35,Multivitamin,2025-03-26,1,259.36
PromoCode,HKFitBlast,1,74916018-2dc8-4e80-a90b-dc3a036ec6cb,Creatine,2025-05-18,1,304.45
PromoCode,MBProteinPush,1,c6d273f9-4d2c-422d-8fae-af3faa46dd26,Omega 3,2025-05-03,1,235.07
PromoCode,HKFitBlast,1,483419b1-c8f5-439e-83ad-1a08264e448e,Creatine,2025-03-22,1,305.51
PromoCode,HKFitBlast,1,ca32c1eb-05d0-4902-88d1-be771710d2f5,Whey Protein,2025-05-07,1,242.02
BioLink,GritzoKidsRun,1,23ff18b2-865a-4dcd-a016-d50a65108b6f,Whey Protein,2025-06-20,1,310.44
BioLink,HKFitBlast,1,aa386ce6-9390-4315-823c-ed0ddc1eb9f4,Creatine,2025-04-09,1,180.94
PromoCode,HKFitBlast,1,4966055e-98a8-4428-a66e-cb23227763f8,Omega 3,2025-04-15,1,203.92
PromoCode,HKFitBlast,1,976611ee-d2bf-4cf2-9709-acc30461a44d,Creatine,2025-03-24,1,327.3
SwipeUp,HKFitBlast,1,f7b9a2e2-fe9b-42d5-9de1-d542d8ccacd5,Omega 3,2025-04-12,1,116.69
SwipeUp,MBProteinPush,1,10e68719-ca7d-40a1-96f3-0b4961682935,Multivitamin,2025-06-07,1,165.78
SwipeUp,HKFitBlast,1,ce2c36df-0051-41e5-a7b8-5447bc6965e7,Multivitamin,2025-06-21,1,185.61
PromoCode,HKFitBlast,1,98a0be4c-91a1-4855-aabd-4589b7365e1b,Omega 3,2025-04-11,1,99.33
SwipeUp,HKFitBlast,1,7f1e6dcc-955d-4f95-b1ce-b8e6c77ae3b1,Whey Protein,2025-06-08,1,117.39
BioLink,HKFitBlast,1,f808e17a-3a96-47f5-98e0-0183c6bfb986,Multivitamin,2025-04-24,1,262.54
BioLink,MBProteinPush,1,6c823a41-30d5-49ed-8684-ac7324522ef6,Multivitamin,2025-06-22,1,294.89
PromoCode,GritzoKidsRun,1,5ddf6f80-8a25-4d95-939e-9c1f8cb8cf5d,Multivitamin,2025-04-16,1,169.04
SwipeUp,HKFitBlast,1,36467544-215d-4b1e-ac8c-93ebc337ed45,Creatine,2025-06-11,1,109.21
BioLink,GritzoKidsRun,1,e35aac0c-132f-4ba1-b106-f95542653ccf,Whey Protein,2025-05-29,1,113.37
BioLink,HKFitBlast,1,fd77319f-240e-48ce-8690-b4f327facb5d,Multivitamin,2025-04-28,1,276.09
SwipeUp,GritzoKidsRun,1,5ca0678b-1f84-42fb-ac26-53260dc6d899,Multivitamin,2025-05-14,1,182.04
BioLink,HKFitBlast,1,7eaef452-8eba-4e78-bb16-27737ab417d6,Multivitamin,2025-04-03,1,150.41
PromoCode,HKFitBlast,1,0fbfae31-9e92-4f50-995c-712f2a9608bd,Whey Protein,2025-04-23,1,221.79
BioLink,GritzoKidsRun,1,6e648ec8-15db-4b31-b6c8-4ff5b8b75626,Multivitamin,2025-04-21,1,150.03
PromoCode,HKFitBlast,1,3a6b65aa-698f-4072-85ba-b8a1973f7fd5,Whey Protein,2025-03-16,1,225.11
BioLink,HKFitBlast,1,a66c93f2-87f2-4581-8809-c026dc29aca7,Omega 3,2025-06-23,1,242.19
SwipeUp,HKFitBlast,1,42d4f31c-51c6-40ca-97a6-e4601b66f3d3,Multivitamin,2025-06-24,1,210.31
SwipeUp,GritzoKidsRun,1,af380794-e0eb-46f1-93e8-947f2899e850,Whey Protein,2025-05-16,1,279.39
PromoCode,HKFitBlast,1,b5d84cae-b381-48b0-b8ca-4da701f098fc,Omega 3,2025-06-13,1,144.2
SwipeUp,HKFitBlast,1,1febfdaf-0f03-4aaf-bfec-2bfa084a4052,Omega 3,2025-03-03,1,218.22
PromoCode,HKFitBlast,1,67d17836-e7b4-438b-a871-690e5cf9cefa,Omega 3,2025-06-24,1,203.99
SwipeUp,HKFitBlast,1,a3cc77c1-c4b6-4e47-aa09-70c6907e5f2d,Creatine,2025-04-24,1,116.93
BioLink,HKFitBlast,1,4eea155b-c96e-417f-a49e-6f6e6c561f78,Omega 3,2025-05-15,1,185.38
BioLink,MBProteinPush,1,ad545be9-9712-4b5a-b15c-25075ef28433,Omega 3,2025-06-03,1,122.84
BioLink,MBProteinPush,1,6cd7f2a3-48f8-4e30-9f39-69ad5918a225,Creatine,2025-06-11,1,282.59
SwipeUp,HKFitBlast,1,7ac53288-4053-474e-bf00-3f8af21dfe36,Whey Protein,2025-06-10,1,208.45
PromoCode,MBProteinPush,1,40480f7b-cf61-4a35-9636-9272230933ad,Omega 3,2025-04-25,1,268.95
BioLink,HKFitBlast,1,8e10a3c7-0b4b-4f23-9c4d-acfd00b30bda,Whey Protein,2025-03-08,1,120.42
SwipeUp,MBProteinPush,1,83a17fac-c89a-4cbd-8c19-2b501e56a4fb,Multivitamin,2025-03-15,1,251.68
PromoCode,GritzoKidsRun,1,e955f593-ce5c-4b20-86d2-3bde350c559f,Multivitamin,2025-05-29,1,228.21
BioLink,HKFitBlast,1,19b251ca-3ad7-42dc-8dc8-ad97699e5dc9,Multivitamin,2025-04-24,1,248.85
SwipeUp,GritzoKidsRun,1,1708f96e-f176-4fbd-8371-14e346b3138a,Omega 3,2025-04-29,1,132.89
PromoCode,HKFitBlast,1,8b5c0140-0ae9-4eb4-842a-ebac6c7e80ad,Omega 3,2025-03-02,1,169.43
BioLink,MBProteinPush,1,ab91dd71-ba0d-44f5-8ff5-435718f1101e,Whey Protein,2025-04-14,1,306.28
BioLink,MBProteinPush,1,07cdabeb-97be-4ad9-a5eb-fcee1b7eb529,Multivitamin,2025-06-14,1,131.16
BioLink,MBProteinPush,1,b44d4088-57bc-4e8a-b965-3f721bb1ca48,Creatine,2025-03-08,1,142.7
BioLink,HKFitBlast,1,0ade0b41-8224-453c-b20b-5ab7159d880c,Multivitamin,2025-04-19,1,201.23
SwipeUp,HKFitBlast,1,76421a9f-0dcb-4811-bf1a-d2201a06cff0,Whey Protein,2025-05-26,1,234.22
